id,price,moonRank,💎 score (%),storeURL,accessory,attire,background,beak,body,eye,hat,shadow
482,7.49,284,43.22,https://magiceden.io/item-details/Cobge513GoHeuWZUoCiKrrGGaxnSm4ghG92sPmXgMzTh,empty,empty,green,short_gold,aqua,bottom_left,fedora_gold,shadow
488,5.3,737,48.55,https://alpha.art/t/6n6Wy1vVEd9udFpzGQVLN4YdzKE9L9P4QSXbpMZiVbq8,empty,empty,blue,long_gold,yellow,bottom_right,bandana_green,shadow
494,4,292,77.82,https://magiceden.io/item-details/9k3ib1dmcyGCznUidTMWA3rYp8mNfmjKzqnzgm185eUR,empty,empty,gradient_2,short_gold,green,bottom_left,fedora_purple,shadow
495,5,332,66.36,https://magiceden.io/item-details/6tP6Ay3jsmumZJHuoLiE8jKTiZQo9sKqGrkKuihpCnT3,empty,empty,purple,long_aqua,purple,top_left,explorer_greenpng,shadow
496,9.99,125,24.03,https://magiceden.io/item-details/FTHAeV1kKaJxZXworPCZWXoKfa2tZLTtaMY8B8qoJHQR,empty,neck_strap,green,long_gold,yellow,bottom_left,cowboy,shadow
516,50,11,0,https://magiceden.io/item-details/6uGUxSHGg2aD2o8JDtsShdKQLv9W9UoZMk8sAb3Jztzq,cig_blue,scarf_blue,purple,short_gold,purple,top_left,fedora_gold,shadow
525,7.5,498,35.29,https://magiceden.io/item-details/HPS1dspH7WbUwTXsU3XMUQ7gbpqRq2PARnoYcj7dtXpU,empty,empty,yellow,long_gold,green,top_left,explorer_gold,shadow
536,4.4,1071,45.34,https://alpha.art/t/8JRbgWkJbSVbyTVnaTPpJzyydpiC5Wap1hzWa2HmXCgT,empty,empty,yellow,long_gold,pink,top_left,bandana_pink,shadow
566,4.24,395,71.66,https://magiceden.io/item-details/BX6XCLi7nkLN93u8aZjPdqJ5WtLcCM34h4NGwBrXf365,empty,empty,gradient_2,short_gold,pink,top_left,peak_red,shadow
569,4,785,59.8,https://magiceden.io/item-details/7nBXkVokQEmds2rgmafTbz44x2dy1s1ry5puW334AT9e,empty,empty,green,short_gold,yellow,bottom_right,bandana_blue,shadow
576,5,220,70.46,https://magiceden.io/item-details/CbWZs2Tsd1ow9L7hkBiN4UWofaSsAB5yDpfpjrpsaYME,cig_black,empty,yellow,long_gold,green,top_left,bandana_green,shadow
579,6.5,648,39.81,https://alpha.art/t/3YpSu4Hqb6UpZJiRULc7whJ3oLdQEnQgBRyq4D85UL4n,empty,empty,yellow,short_gold,pink,top_left,cowboy,shadow
582,10.75,153,15.41,https://alpha.art/t/467syoJv2okzfFfeksiFkkpSm8ATTnaL2qWBZvUTLQWV,cig_blue,empty,yellow,long_gold,purple,top_left,bandana_green,shadow
607,2.85,560,79.52,https://magiceden.io/item-details/GYVCbTiuvHNufRLnyhokAGMFdHdotjF9ks78LpixGFbj,empty,empty,blue,short_gold,purple,top_left,no_hat,shadow
612,3.9,362,76.26,https://magiceden.io/item-details/A5NZLeyzvTPMrwqGJMaXDzAtocyjQQRbQpaVtaJWWWbx,cig_blue,empty,pink,long_gold,pink,top_left,explorer_blue,shadow
628,7.99,15,48.05,https://magiceden.io/item-details/BVddY1xMVDT8E64o2m6eATfg1o6N9NXawGjeCoxRB7g1,drinking_straw,scarf_blue,aqua,long_gold,blue,bottom_left,bandana_multi,shadow
652,4.2,158,80.72,https://magiceden.io/item-details/4QaGAtjiVE4JkT7bQN2pzMrGmV5jP1Du3CVWdNJ3QhjF,cig_red,empty,blue,long_aqua,pink,bottom_right,fedora_blue,shadow
665,6,39,67.07,https://magiceden.io/item-details/24rn4G2oMiwjfAiHkcos2mzbE1GPMkoUcDjbLx4UXKEh,cig_black,scarf_purple,yellow,long_gold,green,bottom_left,fedora_blue,shadow
667,4.95,398,64.45,https://alpha.art/t/BifaCskbSbRdW8eqdeFUycUc95yvkqhtCUoDJ1CgmvvJ,earring,empty,blue,long_gold,pink,top_left,bandana_pink,shadow
696,3.3,878,63.4,https://magiceden.io/item-details/C9y5hVhhAq2Qn92wZ6FJVTv7UVdhBbT8kD1ahDNPd3yd,empty,empty,aqua,short_gold,pink,bottom_right,peak_green,shadow
713,15,22,0,https://alpha.art/t/91ReQ76ELqtF85kBGKsh5TmN1qYehey2tZeT8ofZji67,cig_black,scarf_green,pink,short_gold,blue,bottom_right,peak_green,shadow
720,3.48,847,62.73,https://magiceden.io/item-details/8jjvwGaf5njkkMRaQJHYn4yFYbhSLu9orWpHzSFvUQf7,empty,empty,blue,long_gold,purple,bottom_right,bandana_blue,shadow
723,14.99,102,0,https://magiceden.io/item-details/6PwRYsKTT3dR1tLdL7kz9cyVpxK7Y7vv5T2hJvPwgsa3,empty,scarf_purple,yellow,long_aqua,pink,bottom_left,bandana_purple,shadow
734,4.1,588,66,https://magiceden.io/item-details/6tvEGx1EnndkaHumfxepXKdYprF8NYKy4zQUVKWSdR1v,empty,empty,blue,long_aqua,pink,top_right,peak_purple,shadow
742,25,959,0,https://magiceden.io/item-details/BEMFyVw6v5LmHnkVWK1B81N7jo5hokSjpGg2nyJTPUAB,empty,empty,blue,short_gold,pink,top_left,bandana_green,shadow
743,6.69,58,59.48,https://magiceden.io/item-details/8RMbAkbZQnDvUgnPD1b8snjq2uxSBXBosXMRuUKF2zrD,drinking_straw,empty,blue,long_gold,yellow,top_left,bandana_purple,shadow
764,4,256,79.14,https://magiceden.io/item-details/6C2EiTpaMjyknctFg8QG1HKGccnLEZpiiR72xCHoSzXX,empty,empty,gradient_2,short_gold,blue,bottom_right,no_hat,shadow
782,5,456,61.83,https://magiceden.io/item-details/4RBUa1FDckHhFKQjR7b1hSM4N5RGksqeyBaeHpvYgKiF,empty,neck_strap,aqua,long_gold,pink,top_left,bandana_green,shadow
802,9.5,12,33.06,https://magiceden.io/item-details/FcTSbepGd625qvi4PdrECLzfNXbgu2ue8pcycmJY2yKo,cig_red,scarf_blue,yellow,long_gold,aqua,bottom_left,bandana_multi,shadow
812,39,136,0,https://magiceden.io/item-details/HroQwwr4TcK88bgx49mvyoVs8qFitA6jMpx8SFG61sKC,empty,snood,green,long_gold,pink,bottom_left,explorer_purple,shadow
831,5,140,73.38,https://magiceden.io/item-details/5qamWP9UvKZSHVvjHZMeLMw1D81ENBWEwvKEfxYgLzhg,empty,empty,gradient_1,long_gold,aqua,bottom_left,bandana_green,shadow
847,7.8,17,49.88,https://magiceden.io/item-details/yCqu7ZS7sG9f4g15sFsEYdxfc7iuTFLTpnFEGNB5p7s,earring,scarf_purple,aqua,short_gold,green,bottom_right,explorer_greenpng,shadow
848,4.969,226,70.55,https://magiceden.io/item-details/4sJVAGg2qpV5pWu9FnfbECkBy88mDPoRNDRnWZCTFqHb,empty,scarf_blue,green,long_gold,aqua,bottom_left,bandana_blue,shadow
928,5,57,76.42,https://magiceden.io/item-details/2WjBqTo4SVBctgpm2DkV1r2sY7HggbSMa3ux4rwAtc5Q,cig_blue,neck_strap,purple,long_gold,blue,bottom_right,fedora_blue,shadow
962,10,1094,0,https://alpha.art/t/EiornTTQcZoLXsQFe1eoQgSg4rusQG3H6zn7dtU3CahR,empty,empty,yellow,short_gold,pink,top_right,fedora_blue,shadow
988,19.99,63,0,https://magiceden.io/item-details/EhQAXrCm1VzvbtxL9SgN1YwM8X9M9vvkphsmtkJAapUz,empty,scarf_blue,aqua,short_gold,pink,bloodshot,no_hat,shadow
991,4,324,76.65,https://magiceden.io/item-details/4puKzKWRnEmWaN36qmJpnhCchnPiTzyMH4S5RvRVVbdD,cig_black,empty,yellow,long_gold,green,bottom_left,bandana_blue,shadow
1008,3,950,63.77,https://magiceden.io/item-details/HxvbdGE3mngB8iX1Hdo9JVWorQ57hQvQUMDPQDYkvBR9,empty,empty,aqua,long_gold,pink,top_left,fedora_green,shadow
1024,2.99,902,65.62,https://magiceden.io/item-details/4qPsP6RkyZr1AZzv1r5XyHmBZk6ughaiGVRNKzw97KHk,empty,empty,green,short_gold,pink,top_right,explorer_greenpng,shadow
1036,4.99,228,70.26,https://magiceden.io/item-details/2TWJdTytZgjqKeHJforTNvxophQ6bRDxCkx852w3Qzd7,empty,neck_strap,aqua,short_gold,yellow,bottom_left,fedora_purple,shadow
1066,3.2,610,74.2,https://magiceden.io/item-details/CXDVKxTvy5AiTuXoz73bhebngxXJTEdP4pL8AZxphju1,empty,empty,blue,long_gold,purple,top_right,no_hat,shadow
1092,3.5,267,83.74,https://magiceden.io/item-details/ECJFmDNLeVNWC5QYb2j9m5Pc4fFZGyzZe73np1F3f4jx,empty,neck_chain,green,long_gold,blue,top_right,explorer_greenpng,shadow
1106,99.99,41,0,https://magiceden.io/item-details/8xhMk6W2XpEoNsq4aGeej2AxYCqHrqDDpBVKUjLaPkVY,empty,scarf_blue,purple,long_gold,green,bloodshot,no_hat,shadow
1111,10,409,13.55,https://magiceden.io/item-details/66T58EPEx3Bif99WSr74t8m3u1fkfmJYMhAgPUxahPoW,empty,scarf_blue,purple,long_gold,purple,bottom_left,fedora_blue,shadow
1112,15,214,0,https://magiceden.io/item-details/7pebzzcagHue7WLuTtQEzMtyrobbVx3vc3mZYTn4LYkf,empty,empty,pink,long_gold,yellow,bloodshot,peak_blue,shadow
