id,price,moonRank,💎 score (%),storeURL
1,24.69,NaN,0,https://magiceden.io/item-details/BE3CjkvpU2WwRfFHsjUG5cF2jmY1m2LBnXY3dPzF69tN
2,35,NaN,0,https://magiceden.io/item-details/Kq4x7iFpRKa1nxxvy4p39W2jsMbsqd3biPGgBZvwbmf
4,40,NaN,0,https://magiceden.io/item-details/HoMAZU3hE3RhbVSm7wZxYA1YdnKaCS2GEC7SCiDs4xhR
11,28,NaN,0,https://magiceden.io/item-details/8vHhD2uiPSNnRfbXkpiHQdUpggY7XHzL73rm1xsUxkej
51,38.88,NaN,0,https://magiceden.io/item-details/BjihGKoPp48xn275auMDbumw8TsoS6Xz64S6KHTwkcwN
105,24.5,NaN,0,https://magiceden.io/item-details/GRnaUJoA9vvxEeXme6LZFGsNrt4tjWR7VkAZqXUtAVJ6
154,38.8,NaN,0,https://magiceden.io/item-details/2je14iLsNGKG92i8iSX1kTQHHNUBQoQyEEbWdnefY9Gd
247,38.88,NaN,0,https://magiceden.io/item-details/HcERNuXQo6kuzWCf4SJ3ABAQoctDNm88rpJRnPaU8M2S
266,35,NaN,0,https://magiceden.io/item-details/EtQtnCC9Qwh6hXJG1NeS5uVY8Cff5Fe14cHFFsWGfDos
296,25,NaN,0,https://magiceden.io/item-details/BnSYrJeW4tU2xDyi1znQ1cpNTD2sBNmaetArR3KQSe85
336,39,NaN,0,https://magiceden.io/item-details/DvDQhoddqSRT8kV3zRTVpLd1Q6zApRTdnJsWyLeE9ada
379,40,NaN,0,https://magiceden.io/item-details/9aAp4jCZEmGHd3UEWCELMTZvAjkJMtr1jdUV465EqjYC
420,35,NaN,0,https://magiceden.io/item-details/9Fp1Rgo3QKNEWnXCz3zGKF1SpXYMzBRpDtXiQoY5pjBX
477,39.69,NaN,0,https://magiceden.io/item-details/6cq3Sjak42bfEug3p9vDdmdWhKq9wj7xEzKU9MKd6V3d
517,40,NaN,0,https://magiceden.io/item-details/3Mef6gUoLVRi2HE2CZRjQ6gadzsSUezjZjFGB4gBM4oi
580,38.194,NaN,0,https://magiceden.io/item-details/8mYFwSqurnHKTaS89FboUCnUVrDvVAgyCRm4MtaTt4n5
708,29.8,NaN,0,https://magiceden.io/item-details/UZe2AzC5oztEMWtrhZybZ3wKALnNBozcMx38Dwr5uWL
729,33,NaN,0,https://magiceden.io/item-details/8BMpEq1m5brnmqU3wpWHRUwBk7bstNpZzpUGC95ca2KX
790,33.75,NaN,0,https://magiceden.io/item-details/3iD7xvZH36TPRE7xev722mXXqgMsrqwTWYATwQkDN1H1
829,32,NaN,0,https://magiceden.io/item-details/BLJc39tZCwrD7EmhHAJSYfnYbGAuNr3kLoYoRRuk7P4v
857,33,NaN,0,https://magiceden.io/item-details/ASP9ftk366gAWwGTNansQtXWGxdY8MeMfnAZemUccVWe
864,35,NaN,0,https://magiceden.io/item-details/3q9XkGqPEmWVaaMbi7R5ByDxLkT3QkPTvAwMcsDmuKnC
873,28,NaN,0,https://magiceden.io/item-details/2pcRurvB1ZwkFrcNnyVdU3QKfmNjceU19BmTNL9bgGSF
906,35,NaN,0,https://magiceden.io/item-details/BbnnKHVRdDKReVXQF7cdd9HgmApBZCv594n5MSD1BNXy
915,25.2,NaN,0,https://magiceden.io/item-details/7wodMrCEC6KaWeqD2rkLykoRJ5BepNUqdTfd7Pz3VUsa
1015,29.9,NaN,0,https://magiceden.io/item-details/5z4SscJoTVBcmHxhXmxPm6jfhwWSUhQz288MTxqg1Ktu
1032,30,NaN,0,https://magiceden.io/item-details/9nSpTTytBBQHCSEU9BXeTkXhaeU1xjm5sKhWEm98JNgi
1086,39.5,NaN,0,https://magiceden.io/item-details/3nDnAgUJYithNvDrBeaS7ALqEvyUX2GLXBHbpxFkqoue
1095,30.5,NaN,0,https://magiceden.io/item-details/9c4K6VpTRxgaUnWwMgfomkoHq6bRSvG1jHH4jTP1Mymk
1312,38,NaN,0,https://magiceden.io/item-details/GbBnE8dM9mMkZHeHJFh3h6ujSiFsuTag3uJ6WWwF72gR
1317,25,NaN,0,https://magiceden.io/item-details/J7ygDQvruF7AMkVRcDwW3uZ1iyYPx2odHjjYos5W3i2D
1416,26.5,NaN,0,https://magiceden.io/item-details/5KeWvRtcdcWP6mQyBdXAd4vTdB5euUc27f4FTExSHU85
1524,39.5,NaN,0,https://magiceden.io/item-details/VtDLp5BcMNMd8VR8NYrHKhpYKsekcYFMVzen3Cc4MPR
1528,38.8,NaN,0,https://magiceden.io/item-details/C8QhEWben3EnBHqvXeMnLDBQLgz8AunV9htrAu2KZwc6
1793,40,NaN,0,https://magiceden.io/item-details/7zt28yvzRx1S79iGJqNyZ8drUiNnNR8doh9hH3kdamp
1821,34,NaN,0,https://magiceden.io/item-details/21PHGF7brWLwTFi4e6mGFuSnGRbmRxsxb7qFQFGEMQgn
1879,38.88,NaN,0,https://magiceden.io/item-details/Wv7bvPVRxQoqoJ25zev71Pe8hKw5amKdRN3J4v5kWSv
1909,35,NaN,0,https://magiceden.io/item-details/3tHogagRXUGqX47BGAD7Em7kwZmEqwpcgjoFAhYAwzZW
1977,34,NaN,0,https://magiceden.io/item-details/24rrWMsawx65jZH2GpkKxop6Wbs51GwHup9Ly4hdKo2x
2093,40,NaN,0,https://magiceden.io/item-details/6nAB7fZ9EQsqA5bGKKqvyMahJj4k8qkrGr1KXHRSHinM
